restaurant_id,restaurant_name,city,locality,latitude,longitude,restaurant_type,cuisines,top_selling_dish,distance_from_city_center_km,opening_time,closing_time,operating_days_per_week,seating_capacity,swiggy_rating,swiggy_total_reviews,zomato_rating,zomato_total_reviews,average_rating_both_platforms,customer_sentiment_score,avg_cost_per_person_inr,price_category,swiggy_delivery_fee_inr,zomato_delivery_fee_inr,swiggy_avg_delivery_time_minutes,zomato_avg_delivery_time_minutes,avg_prep_time_minutes,swiggy_platform_commission_pct,zomato_platform_commission_pct,swiggy_discount_frequency_pct,zomato_discount_frequency_pct,swiggy_estimated_monthly_orders,zomato_estimated_monthly_orders,monthly_order_growth_pct,weekend_order_uplift_pct,repeat_customer_pct,online_order_share_pct,swiggy_estimated_monthly_revenue_inr,zomato_estimated_monthly_revenue_inr,swiggy_estimated_net_profit_inr,zomato_estimated_net_profit_inr,swiggy_market_share_pct,zomato_market_share_pct,platform_performance_better,amenities,amenities_count,seating_capacity_note,loyalty_program,sustainability_packaging_rating,has_own_website,has_own_app,food_license_verified,year_established,listing_date,days_listed,rating_difference,revenue_difference,profit_difference,total_monthly_revenue,total_monthly_profit,total_monthly_orders,average_delivery_time
REST000015,The Thai House,Delhi,Dwarka,28.76713,77.13488,Cafe,Thai; Vegan,Tom Yum Soup,11.0,09:00,23:00,6,75,4.4,1310,4.2,722,4.3,89,569,Mid-Range,71,61,32,40,18,16.9,25.6,14,23,283,188,-10.1,35,65,81,161027,106972,129799,77200,60.1,39.9,Swiggy Better,AC; Outdoor Seating; Alcohol; Vegan Options; Takeaway,5,Dine-in available,False,4,True,False,True,2024,2024-04-05,836,0.20000000000000018,54055,52599,267999,206999,471,36.0
REST000016,Twist Darbar,Bangalore,Bellandur,12.93751,77.57058,Casual Dining,Desserts,Kulfi,5.9,10:00,23:00,7,112,4.7,784,4.8,722,4.75,100,761,Premium,44,47,21,33,15,26.0,19.0,15,17,317,326,2.0,32,69,65,241237,248086,173160,194921,49.3,50.7,Zomato Better,Family Friendly; WiFi,2,Dine-in available,True,4,True,False,True,2022,2026-03-14,128,-0.09999999999999964,-6849,-21761,489323,368081,643,27.0
REST000017,Bistro Continental Kitchen Co.,Pune,Koregaon Park,18.6453,73.80025,Food Truck,Continental; Pan-Asian,Steak,3.6,12:00,23:00,7,0,3.2,288,3.7,1072,3.45,70,175,Budget,27,32,21,25,10,16.1,21.9,11,32,132,185,-15.8,32,32,94,23100,32375,18799,24526,41.6,58.4,Zomato Better,Takeaway; Bar; Alcohol; Rooftop; WiFi; Family Friendly; Vegan Options; Live Music,8,"Delivery-only, no seating",False,1,False,False,True,2015,2016-10-22,3558,-0.5,-9275,-5727,55475,43325,317,23.0
REST000018,Terrace Chinese Diner,Mumbai,Juhu,19.07882,72.86601,Cloud Kitchen,Chinese,Hakka Noodles,5.2,10:00,23:00,7,0,4.7,1576,4.8,4688,4.75,90,646,Mid-Range,40,36,31,27,17,25.5,18.4,11,29,249,597,-1.8,12,68,68,160854,385662,116241,305259,29.4,70.6,Zomato Better,Dessert Bar; Parking; Live Music; Private Room; Dine-in,5,"Delivery-only, no seating",False,5,False,False,True,2024,2024-09-09,679,-0.09999999999999964,-224808,-189018,546516,421500,846,29.0
REST000019,Ember Lebanese Diner,Kolkata,New Town,22.54422,88.35236,Casual Dining,Lebanese,Kibbeh,9.5,11:00,21:00,7,43,4.2,1494,4.5,2118,4.35,89,971,Premium,57,57,32,40,11,19.3,18.8,11,23,290,391,3.4,53,55,93,281590,379661,220426,299036,42.6,57.4,Zomato Better,Takeaway; Bar; Family Friendly; Live Music,4,Dine-in available,False,3,True,False,False,2025,2026-05-27,54,-0.2999999999999998,-98071,-78610,661251,519462,681,36.0
REST000020,Spice Pan-Asian Kitchen,Hyderabad,Madhapur,17.45638,78.49102,Cloud Kitchen,Pan-Asian,Sushi Rolls,7.0,07:00,23:00,7,0,4.2,1322,4.4,993,4.3,85,249,Budget,44,50,30,31,31,25.0,26.4,24,15,270,210,-0.1,39,41,93,67230,52290,48910,37331,56.2,43.8,Swiggy Better,Rooftop; WiFi; Outdoor Seating; Smoking Area; Bar; Dessert Bar; Family Friendly,7,"Delivery-only, no seating",False,4,True,False,False,2018,2018-01-17,3106,-0.20000000000000018,14940,11579,119520,86241,480,30.5
REST000021,The Street Hub,Chennai,Chromepet,13.0897,80.29164,Casual Dining,Street Food,Pani Puri,4.1,10:00,21:00,7,117,4.5,2074,3.8,598,4.15,86,696,Mid-Range,40,38,30,27,12,19.4,17.0,9,4,250,222,-1.5,27,59,63,174000,154512,136037,124398,53.0,47.0,Swiggy Better,Alcohol; Private Room; Parking,3,Dine-in available,False,5,False,False,True,2018,2023-05-05,1172,0.7000000000000002,19488,11639,328512,260435,472,28.5
REST000022,The Vietnamese Corner,Delhi,Paharganj,28.68529,77.11413,Casual Dining,Vietnamese,Pho,5.3,11:00,23:00,5,52,3.8,1582,3.7,765,3.75,73,769,Premium,37,46,25,29,18,26.3,24.7,31,18,253,284,-18.5,48,37,69,194557,218396,139087,159519,47.1,52.9,Zomato Better,Bar; Dine-in; Rooftop; Vegan Options; Alcohol; WiFi,6,Dine-in available,False,2,True,False,True,2017,2019-07-23,2554,0.09999999999999964,-23839,-20432,412953,298606,537,27.0
REST000023,The Vietnamese Eatery,Lucknow,Aminabad,26.81958,81.00695,QSR (Quick Service),Vietnamese; Vegan,Spring Rolls,10.9,10:00,23:00,7,117,4.6,655,4.6,1045,4.6,90,202,Budget,66,63,35,38,15,26.2,25.2,6,21,196,238,11.9,25,69,94,39592,48076,28342,34882,45.2,54.8,Zomato Better,Outdoor Seating; Alcohol; Parking; WiFi; Dessert Bar,5,Dine-in available,True,4,False,False,True,2013,2018-08-24,2887,0.0,-8484,-6540,87668,63224,434,36.5
REST000024,Cinnamon Grill,Ahmedabad,Prahladnagar,23.12761,72.66531,Casual Dining,Mexican,Quesadilla,21.1,09:00,21:00,6,28,4.0,1257,4.1,850,4.05,78,815,Premium,97,109,51,53,28,22.4,24.1,26,26,310,236,14.6,57,42,81,252650,192340,190175,141606,56.8,43.2,Swiggy Better,Live Music; Rooftop; Outdoor Seating; Private Room; Parking; Dessert Bar; Smoking Area; Takeaway,8,Dine-in available,False,3,True,False,True,2023,2024-05-16,795,-0.09999999999999964,60310,48569,444990,331781,546,52.0
REST000025,Copper Seafood Cellar,Kolkata,New Town,22.52291,88.36467,Casual Dining,Seafood; Desserts,Crab Masala,4.3,09:00,24:00,7,18,4.1,1411,4.4,824,4.25,82,922,Premium,36,34,30,17,19,15.5,21.1,23,19,337,396,0.2,11,61,75,310714,365112,254677,279431,46.0,54.0,Zomato Better,Outdoor Seating; Live Music; WiFi; AC,4,Dine-in available,True,5,False,False,True,2020,2020-09-13,2136,-0.3000000000000007,-54398,-24754,675826,534108,733,23.5
REST000026,Green House,Bangalore,MG Road,13.02789,77.56999,Fine Dine,Korean,Korean Fried Chicken,1.2,07:00,24:00,6,63,4.8,431,4.6,697,4.7,93,1200,Premium,24,23,21,20,24,16.4,17.8,20,17,143,118,17.4,58,63,68,171600,141600,139154,112903,54.8,45.2,Swiggy Better,Family Friendly; Alcohol,2,Dine-in available,True,2,False,True,True,2020,2023-09-19,1035,0.20000000000000018,30000,26251,313200,252057,261,20.5
REST000027,Lotus Multi-Cuisine Point,Delhi,Vasant Kunj,28.66352,77.09253,Casual Dining,Multi-Cuisine; Bakery,Chef's Special Platter,10.1,12:00,23:00,6,67,4.5,2823,4.3,968,4.4,90,588,Mid-Range,65,61,36,37,34,25.4,15.0,7,23,326,297,11.8,40,54,93,191688,174636,138709,143987,52.3,47.7,Zomato Better,Private Room; WiFi; Parking; Rooftop; Takeaway; AC,6,Dine-in available,True,5,False,False,True,2018,2022-12-02,1326,0.20000000000000018,17052,-5278,366324,282696,623,36.5
REST000028,The Street House (2),Mumbai,Colaba,19.04486,72.86618,Food Truck,Street Food,Momos,2.5,10:00,21:00,6,0,4.6,755,4.5,587,4.55,95,259,Budget,34,25,25,23,25,22.1,22.6,12,5,199,142,-12.0,12,53,81,51541,36778,38946,27612,58.4,41.6,Swiggy Better,Alcohol; Takeaway; Dessert Bar,3,"Delivery-only, no seating",False,2,True,False,False,2019,2024-02-22,879,0.09999999999999964,14763,11334,88319,66558,341,24.0
REST000029,The Lebanese Tadka,Mumbai,Santacruz,19.0719,72.84813,QSR (Quick Service),Lebanese; Street Food,Fattoush,9.0,12:00,23:00,7,68,5.0,947,4.9,2779,4.95,100,460,Mid-Range,55,56,32,27,21,25.2,18.8,19,32,317,348,1.7,24,64,71,145820,160080,105801,126085,47.7,52.3,Zomato Better,Dessert Bar; WiFi; Takeaway; Outdoor Seating,4,Dine-in available,False,2,False,False,True,2015,2020-02-23,2339,0.09999999999999964,-14260,-20284,305900,231886,665,29.5
REST000030,Urban Foods,Hyderabad,Jubilee Hills,17.40827,78.41176,Cloud Kitchen,Mediterranean; Mughlai,Falafel Wrap,15.4,08:00,24:00,7,0,4.8,1266,4.8,1090,4.8,96,448,Mid-Range,89,78,42,40,11,20.2,15.4,24,14,440,446,12.3,55,64,86,197120,199808,152583,163966,49.7,50.3,Zomato Better,Bar; Private Room; Dessert Bar; Family Friendly; Rooftop; WiFi,6,"Delivery-only, no seating",True,1,True,False,True,2018,2018-10-28,2822,0.0,-2688,-11383,396928,316549,886,41.0
REST000031,Basil Foods,Chennai,Nungambakkam,13.00046,80.20332,Cloud Kitchen,Vietnamese; Multi-Cuisine,Bun Cha,9.0,08:00,21:00,7,0,4.1,2167,4.1,1633,4.1,80,321,Mid-Range,52,57,34,32,23,21.5,17.2,23,29,323,429,8.1,27,45,61,103683,137709,78949,110602,43.0,57.0,Zomato Better,Takeaway; Outdoor Seating; Bar; Dessert Bar; WiFi,5,"Delivery-only, no seating",True,2,False,False,False,2013,2017-01-03,3485,0.0,-34026,-31653,241392,189551,752,33.0
REST000032,Spice Mediterranean Bhavan,Lucknow,Gomti Nagar,26.81948,80.98039,Casual Dining,Mediterranean,Falafel Wrap,0.7,10:00,22:00,6,65,4.0,1505,4.1,1189,4.05,73,569,Mid-Range,23,24,19,17,22,20.2,26.0,4,9,256,203,8.8,59,45,72,145664,115507,112753,82911,55.8,44.2,Swiggy Better,Outdoor Seating; Dine-in; WiFi; Bar; Live Music; Smoking Area,6,Dine-in available,True,2,False,False,True,2021,2021-12-13,1680,-0.09999999999999964,30157,29842,261171,195664,459,18.0
REST000033,Zaffran Kitchen,Bangalore,Malleshwaram,13.02305,77.63209,Cloud Kitchen,Street Food,Momos,11.7,07:00,24:00,7,0,4.8,1813,4.7,924,4.75,98,420,Mid-Range,73,58,37,38,18,21.8,24.7,18,24,298,347,11.0,31,75,87,125160,145740,94939,106450,46.2,53.8,Zomato Better,Private Room; Smoking Area; Live Music; Outdoor Seating; Alcohol; Takeaway; WiFi; Family Friendly,8,"Delivery-only, no seating",False,3,False,False,True,2022,2023-12-24,939,0.09999999999999964,-20580,-11511,270900,201389,645,37.5
REST000034,The Bakery Bhavan,Delhi,Chandni Chowk,28.75533,77.11877,Casual Dining,Bakery,Artisan Bread,8.6,10:00,23:00,5,28,4.1,2403,3.9,2560,4.0,85,664,Mid-Range,55,61,35,36,30,20.5,18.2,13,10,315,318,-0.8,58,44,92,209160,211152,161294,167541,49.8,50.2,Zomato Better,Vegan Options; Dine-in; Dessert Bar; Bar,4,Dine-in available,False,4,True,False,True,2017,2017-06-02,3335,0.19999999999999973,-1992,-6247,420312,328835,633,35.5
REST000035,Urban Cafe,Delhi,Greater Kailash,28.68958,77.0904,Cafe,North Indian,Paneer Tikka,8.4,09:00,24:00,5,70,4.9,2204,5.0,1967,4.95,100,418,Mid-Range,51,51,32,37,31,24.6,21.2,19,13,256,399,-10.2,7,71,70,107008,166782,78264,127481,39.1,60.9,Zomato Better,Takeaway; Smoking Area; Vegan Options; Live Music; Alcohol; Dessert Bar,6,Dine-in available,False,4,False,True,True,2022,2024-04-25,816,-0.09999999999999964,-59774,-49217,273790,205745,655,34.5
REST000036,The Cafe Table,Bangalore,Sarjapur Road,12.91284,77.56934,QSR (Quick Service),Cafe,Cold Brew,7.8,08:00,23:00,7,84,4.2,2153,4.5,935,4.35,82,190,Budget,50,51,32,31,16,19.7,19.4,15,8,319,283,0.2,52,39,95,60610,53770,47210,42038,53.0,47.0,Swiggy Better,Live Music; Dessert Bar; Parking,3,Dine-in available,False,1,False,False,True,2023,2023-09-04,1050,-0.2999999999999998,6840,5172,114380,89248,602,31.5
REST000037,Silk Bowl,Mumbai,Goregaon,19.08678,72.80908,Fine Dine,Japanese; Mughlai,Sushi Platter,7.3,09:00,22:00,7,73,4.5,1374,4.4,718,4.45,96,1596,Luxury,55,44,32,33,11,24.0,26.7,17,32,170,155,0.8,11,62,72,271320,247380,200017,175890,52.3,47.7,Swiggy Better,Rooftop; Family Friendly; Private Room; WiFi; Outdoor Seating; Bar; Parking; Live Music,8,Dine-in available,False,3,True,True,True,2025,2025-12-09,223,0.09999999999999964,23940,24127,518700,375907,325,32.5
REST000038,The North Grill,Delhi,Lajpat Nagar,28.74578,77.06993,Fine Dine,North Indian,Dal Makhani,5.8,12:00,23:00,7,63,4.6,1225,4.9,1268,4.75,100,1745,Luxury,45,41,23,28,21,24.6,18.6,24,14,207,193,7.6,7,68,92,361215,336785,264185,265919,51.7,48.3,Balanced,Live Music; AC; Alcohol,3,Dine-in available,True,2,True,False,True,2013,2017-09-23,3222,-0.3000000000000007,24430,-1734,698000,530104,400,25.5
REST000039,Wok Bar & Grill,Bangalore,Bellandur,12.98068,77.558,Cafe,Thai,Pad Thai,6.4,10:00,22:00,6,63,4.7,1141,4.5,1369,4.6,100,351,Mid-Range,47,49,24,29,21,20.6,19.6,26,6,241,192,3.3,52,56,77,84591,67392,65150,52558,55.7,44.3,Swiggy Better,Alcohol; Live Music; AC; Rooftop; Smoking Area; Bar; Outdoor Seating,7,Dine-in available,True,1,True,False,True,2016,2020-09-04,2145,0.20000000000000018,17199,12592,151983,117708,433,26.5
REST000040,Bombay Korean Bhavan,Hyderabad,Ameerpet,17.45527,78.41598,QSR (Quick Service),Korean,Kimchi Fried Rice,15.8,10:00,23:00,7,65,4.5,2006,4.4,2884,4.45,87,328,Mid-Range,88,78,40,44,16,25.3,20.5,27,10,243,344,7.1,6,61,95,79704,112832,57753,87010,41.4,58.6,Zomato Better,Private Room; Dine-in; Outdoor Seating; Rooftop; AC; Parking; Live Music; Takeaway,8,Dine-in available,False,5,True,False,True,2022,2025-02-08,527,0.09999999999999964,-33128,-29257,192536,144763,587,42.0
REST000041,The Vietnamese Cellar,Delhi,Connaught Place,28.69061,77.11338,Cafe,Vietnamese; Cafe,Pho,12.6,11:00,22:00,7,33,4.5,2900,4.5,1951,4.5,96,564,Mid-Range,74,72,33,40,32,20.0,23.1,9,10,385,392,7.0,13,53,83,217140,221088,168501,164916,49.5,50.5,Balanced,Outdoor Seating; Live Music; WiFi; Vegan Options,4,Dine-in available,True,5,False,False,False,2022,2026-05-02,79,0.0,-3948,3585,438228,333417,777,36.5
REST000042,Saffron South Point,Kolkata,Ballygunge,22.5067,88.32696,Casual Dining,South Indian,Filter Coffee,9.2,11:00,23:00,6,19,4.7,829,4.9,1658,4.8,97,816,Premium,55,57,30,34,28,25.9,24.4,16,20,261,344,-8.4,16,59,67,212976,280704,153081,205846,43.1,56.9,Zomato Better,Dine-in; Bar; Live Music; Dessert Bar,4,Dine-in available,False,2,True,False,True,2016,2017-09-16,3229,-0.20000000000000018,-67728,-52765,493680,358927,605,32.0
REST000043,Bombay Hub,Chennai,Guindy,13.05296,80.27272,QSR (Quick Service),Biryani,Chicken Biryani,6.7,10:00,23:00,7,115,4.9,3756,4.7,870,4.8,93,421,Mid-Range,46,49,34,26,10,15.1,26.8,7,10,423,388,-4.5,31,73,71,178083,163348,146657,115984,52.2,47.8,Swiggy Better,Rooftop; Smoking Area; Alcohol,3,Dine-in available,False,1,False,True,True,2021,2023-12-19,944,0.20000000000000018,14735,30673,341431,262641,811,30.0
REST000044,The South Bowl,Bangalore,Koramangala,12.97168,77.52064,Fine Dine,South Indian,Filter Coffee,3.4,09:00,22:00,7,115,3.8,1158,3.4,808,3.6,75,1066,Premium,35,25,25,22,21,20.3,25.9,13,30,133,175,2.6,50,37,60,141778,186550,109607,134087,43.2,56.8,Zomato Better,Takeaway; Vegan Options,2,Dine-in available,False,1,False,False,False,2018,2023-08-27,1058,0.3999999999999999,-44772,-24480,328328,243694,308,23.5
REST000045,Harvest Street Tadka,Kolkata,Ballygunge,22.53743,88.39328,QSR (Quick Service),Street Food; Mughlai,Vada Pav,2.5,07:00,22:00,7,102,4.7,1912,4.4,671,4.55,89,329,Mid-Range,34,36,24,23,30,25.1,19.8,18,4,223,262,4.7,16,68,90,73367,86198,53303,67057,46.0,54.0,Zomato Better,Dine-in; Parking; Alcohol; Family Friendly,4,Dine-in available,False,3,False,False,True,2019,2019-06-25,2582,0.2999999999999998,-12831,-13754,159565,120360,485,23.5
REST000046,Bistro Deck,Kolkata,Salt Lake,22.54662,88.38536,Casual Dining,Seafood; Cafe,Fish Fry,2.0,11:00,23:00,7,98,4.0,1333,4.1,700,4.05,76,1061,Premium,31,32,22,18,11,19.3,24.0,16,13,241,243,9.3,53,56,73,255701,257823,200160,190067,49.8,50.2,Swiggy Better,Rooftop; Family Friendly,2,Dine-in available,True,5,False,False,False,2021,2022-07-30,1451,-0.09999999999999964,-2122,10093,513524,390227,484,20.0
REST000047,The Biryani Grill,Delhi,Preet Vihar,28.75219,77.07683,Cloud Kitchen,Biryani,Egg Biryani,14.3,08:00,23:00,7,0,4.3,711,4.1,2271,4.2,85,575,Mid-Range,79,77,42,43,27,21.0,15.5,24,14,306,322,-5.6,51,51,84,175950,185150,134830,151758,48.7,51.3,Zomato Better,Smoking Area; AC; Dine-in; Private Room; Alcohol; WiFi; Vegan Options; Bar,8,"Delivery-only, no seating",True,2,True,False,True,2023,2024-02-25,876,0.20000000000000018,-9200,-16928,361100,286588,628,42.5
REST000048,The Vegan Eatery,Bangalore,Whitefield,12.93098,77.66327,QSR (Quick Service),Vegan; North Indian,Plant-Based Burger,2.2,08:00,24:00,7,114,4.1,2761,4.0,2013,4.05,75,145,Budget,30,34,24,23,19,15.8,18.4,21,5,375,269,9.4,12,46,97,54375,39005,44410,30873,58.2,41.8,Swiggy Better,Takeaway; Outdoor Seating; WiFi; Rooftop; Family Friendly; Vegan Options,6,Dine-in available,False,5,False,False,True,2018,2021-11-04,1719,0.09999999999999964,15370,13537,93380,75283,644,23.5
REST000049,The Cafe Republic,Hyderabad,Hitech City,17.31834,78.48265,Cloud Kitchen,Cafe,Cappuccino,5.0,12:00,24:00,7,0,4.6,2072,4.7,2692,4.65,98,327,Mid-Range,47,43,27,28,27,17.8,22.8,28,15,367,339,0.9,29,51,92,120009,110853,95688,83011,52.0,48.0,Swiggy Better,Rooftop; WiFi; Takeaway; Live Music; Smoking Area; Outdoor Seating; Alcohol; Private Room,8,"Delivery-only, no seating",True,3,False,False,True,2018,2022-07-20,1461,-0.10000000000000053,9156,12677,230862,178699,706,27.5
